CustomerID,Lookalikes
C0001,"[('C0091', 0.9888), ('C0069', 0.9843), ('C0184', 0.9786)]"
C0002,"[('C0159', 0.9795), ('C0036', 0.9568), ('C0134', 0.9079)]"
C0003,"[('C0007', 0.9969), ('C0085', 0.964), ('C0166', 0.9604)]"
C0004,"[('C0075', 0.9832), ('C0090', 0.9206), ('C0065', 0.8849)]"
C0005,"[('C0197', 0.968), ('C0085', 0.9638), ('C0166', 0.9498)]"
C0006,"[('C0169', 0.9704), ('C0185', 0.9294), ('C0081', 0.9274)]"
C0007,"[('C0003', 0.9969), ('C0085', 0.9791), ('C0166', 0.9585)]"
C0008,"[('C0143', 0.9757), ('C0158', 0.9535), ('C0170', 0.9505)]"
C0009,"[('C0032', 0.9803), ('C0058', 0.9683), ('C0150', 0.9614)]"
C0010,"[('C0029', 0.9977), ('C0062', 0.9804), ('C0111', 0.9802)]"
C0011,"[('C0117', 0.964), ('C0016', 0.9632), ('C0074', 0.951)]"
C0012,"[('C0148', 0.9885), ('C0152', 0.954), ('C0113', 0.9513)]"
C0013,"[('C0046', 0.9815), ('C0099', 0.9466), ('C0117', 0.9195)]"
C0014,"[('C0151', 0.9979), ('C0097', 0.9927), ('C0060', 0.988)]"
C0015,"[('C0071', 0.9765), ('C0121', 0.9723), ('C0025', 0.9688)]"
C0016,"[('C0011', 0.9632), ('C0117', 0.9248), ('C0074', 0.8761)]"
C0017,"[('C0179', 0.8911), ('C0122', 0.8888), ('C0064', 0.867)]"
C0018,"[('C0023', 0.9823), ('C0051', 0.9772), ('C0168', 0.9766)]"
C0019,"[('C0035', 0.9383), ('C0177', 0.9137), ('C0070', 0.8878)]"
C0020,"[('C0130', 0.9794), ('C0094', 0.9552), ('C0032', 0.9274)]"
